id,churn
1,no
2,yes
3,yes
4,yes
5,yes
6,yes
7,yes
8,no
9,yes
10,yes
11,yes
12,yes
13,no
14,no
15,yes
16,yes
17,yes
18,no
19,yes
20,no
21,yes
22,no
23,no
24,yes
25,yes
26,yes
27,yes
28,yes
29,no
30,yes
31,no
32,no
33,yes
34,yes
35,yes
36,no
37,no
38,yes
39,yes
40,yes
41,no
42,yes
43,yes
44,yes
45,no
46,yes
47,no
48,yes
49,no
50,yes
51,no
52,yes
53,yes
54,no
55,no
56,yes
57,yes
58,yes
59,yes
60,yes
61,yes
62,no
63,yes
64,yes
65,yes
66,yes
67,yes
68,yes
69,yes
70,no
71,yes
72,yes
73,yes
74,yes
75,no
76,yes
77,yes
78,no
79,no
80,yes
81,no
82,yes
83,yes
84,yes
85,no
86,yes
87,yes
88,no
89,no
90,yes
91,no
92,yes
93,no
94,yes
95,yes
96,yes
97,yes
98,yes
99,no
100,no
101,yes
102,yes
103,no
104,yes
105,yes
106,yes
107,yes
108,yes
109,yes
110,no
111,no
112,yes
113,yes
114,no
115,yes
116,no
117,yes
118,yes
119,yes
120,yes
121,no
122,yes
123,yes
124,yes
125,yes
126,yes
127,yes
128,yes
129,yes
130,yes
131,yes
132,yes
133,no
134,yes
135,yes
136,yes
137,no
138,no
139,no
140,yes
141,yes
142,yes
143,no
144,yes
145,yes
146,yes
147,yes
148,no
149,yes
150,yes
151,yes
152,yes
153,no
154,yes
155,yes
156,yes
157,no
158,no
159,yes
160,no
161,no
162,yes
163,yes
164,yes
165,yes
166,yes
167,yes
168,yes
169,yes
170,yes
171,yes
172,no
173,no
174,yes
175,yes
176,yes
177,yes
178,yes
179,yes
180,yes
181,no
182,no
183,yes
184,yes
185,yes
186,yes
187,yes
188,yes
189,no
190,yes
191,yes
192,yes
193,no
194,yes
195,no
196,no
197,yes
198,no
199,yes
200,yes
201,no
202,no
203,yes
204,no
205,yes
206,yes
207,no
208,yes
209,no
210,no
211,yes
212,yes
213,yes
214,no
215,yes
216,no
217,yes
218,yes
219,no
220,no
221,no
222,yes
223,yes
224,no
225,no
226,yes
227,yes
228,no
229,no
230,yes
231,yes
232,yes
233,no
234,yes
235,no
236,yes
237,yes
238,yes
239,no
240,no
241,yes
242,no
243,yes
244,no
245,no
246,yes
247,yes
248,no
249,no
250,yes
251,yes
252,no
253,yes
254,yes
255,no
256,yes
257,yes
258,no
259,yes
260,yes
261,no
262,yes
263,no
264,yes
265,yes
266,yes
267,no
268,yes
269,yes
270,yes
271,yes
272,yes
273,yes
274,no
275,no
276,yes
277,yes
278,no
279,yes
280,yes
281,yes
282,yes
283,no
284,yes
285,yes
286,no
287,no
288,no
289,yes
290,yes
291,yes
292,yes
293,yes
294,yes
295,yes
296,yes
297,yes
298,yes
299,yes
300,yes
301,yes
302,no
303,yes
304,yes
305,yes
306,yes
307,yes
308,no
309,no
310,yes
311,yes
312,no
313,yes
314,yes
315,yes
316,no
317,yes
318,yes
319,yes
320,no
321,yes
322,yes
323,yes
324,yes
325,yes
326,yes
327,no
328,yes
329,yes
330,yes
331,no
332,yes
333,no
334,no
335,yes
336,yes
337,no
338,yes
339,no
340,yes
341,yes
342,no
343,yes
344,yes
345,no
346,yes
347,no
348,yes
349,yes
350,yes
351,no
352,yes
353,yes
354,yes
355,yes
356,yes
357,no
358,yes
359,yes
360,yes
361,yes
362,yes
363,yes
364,no
365,no
366,yes
367,no
368,no
369,no
370,yes
371,no
372,yes
373,yes
374,yes
375,yes
376,yes
377,yes
378,yes
379,yes
380,yes
381,yes
382,yes
383,yes
384,yes
385,yes
386,yes
387,yes
388,yes
389,yes
390,yes
391,yes
392,yes
393,no
394,yes
395,yes
396,yes
397,yes
398,no
399,yes
400,no
401,no
402,no
403,no
404,yes
405,yes
406,yes
407,yes
408,yes
409,yes
410,yes
411,no
412,yes
413,yes
414,yes
415,yes
416,no
417,yes
418,no
419,no
420,yes
421,yes
422,yes
423,yes
424,yes
425,no
426,no
427,no
428,yes
429,yes
430,no
431,yes
432,no
433,yes
434,yes
435,yes
436,yes
437,yes
438,no
439,yes
440,yes
441,no
442,no
443,no
444,yes
445,no
446,yes
447,yes
448,yes
449,yes
450,yes
451,no
452,yes
453,yes
454,yes
455,yes
456,no
457,yes
458,yes
459,yes
460,yes
461,yes
462,yes
463,yes
464,no
465,no
466,yes
467,yes
468,yes
469,yes
470,yes
471,yes
472,yes
473,no
474,yes
475,yes
476,no
477,yes
478,yes
479,yes
480,no
481,yes
482,no
483,yes
484,yes
485,yes
486,yes
487,no
488,yes
489,yes
490,no
491,no
492,yes
493,yes
494,yes
495,yes
496,yes
497,no
498,yes
499,yes
500,yes
501,yes
502,yes
503,yes
504,yes
505,no
506,yes
507,yes
508,no
509,no
510,no
511,yes
512,no
513,yes
514,no
515,yes
516,yes
517,yes
518,yes
519,yes
520,yes
521,yes
522,no
523,yes
524,yes
525,yes
526,no
527,yes
528,yes
529,no
530,no
531,yes
532,no
533,yes
534,no
535,yes
536,yes
537,no
538,yes
539,no
540,no
541,no
542,no
543,yes
544,yes
545,no
546,yes
547,yes
548,yes
549,yes
550,yes
551,yes
552,no
553,no
554,no
555,yes
556,no
557,yes
558,yes
559,yes
560,yes
561,yes
562,yes
563,yes
564,no
