id,churn
1,yes
2,yes
3,yes
4,yes
5,yes
6,yes
7,yes
8,yes
9,yes
10,yes
11,yes
12,yes
13,yes
14,yes
15,yes
16,yes
17,no
18,yes
19,yes
20,yes
21,yes
22,yes
23,yes
24,yes
25,yes
26,yes
27,yes
28,no
29,yes
30,yes
31,yes
32,yes
33,yes
34,yes
35,no
36,no
37,yes
38,yes
39,no
40,yes
41,yes
42,yes
43,yes
44,yes
45,yes
46,yes
47,yes
48,yes
49,yes
50,yes
51,yes
52,yes
53,yes
54,yes
55,yes
56,yes
57,yes
58,yes
59,yes
60,yes
61,yes
62,yes
63,yes
64,yes
65,yes
66,yes
67,yes
68,no
69,yes
70,yes
71,yes
72,yes
73,yes
74,yes
75,yes
76,no
77,yes
78,yes
79,yes
80,yes
81,yes
82,yes
83,yes
84,yes
85,yes
86,yes
87,yes
88,yes
89,yes
90,yes
91,yes
92,yes
93,yes
94,yes
95,yes
96,yes
97,yes
98,yes
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,no
106,yes
107,yes
108,yes
109,yes
110,yes
111,yes
112,yes
113,no
114,yes
115,yes
116,yes
117,yes
118,yes
119,yes
120,yes
121,yes
122,yes
123,yes
124,yes
125,yes
126,yes
127,yes
128,yes
129,yes
130,yes
131,yes
132,no
133,no
134,yes
135,yes
136,yes
137,yes
138,yes
139,yes
140,yes
141,yes
142,yes
143,no
144,yes
145,yes
146,yes
147,yes
148,yes
149,yes
150,yes
151,yes
152,yes
153,yes
154,yes
155,yes
156,yes
157,yes
158,yes
159,yes
160,yes
161,yes
162,yes
163,yes
164,yes
165,no
166,yes
167,yes
168,yes
169,yes
170,yes
171,yes
172,yes
173,yes
174,yes
175,yes
176,yes
177,yes
178,no
179,yes
180,yes
181,yes
182,yes
183,yes
184,yes
185,no
186,yes
187,yes
188,yes
189,yes
190,yes
191,yes
192,yes
193,yes
194,yes
195,yes
196,yes
197,yes
198,yes
199,yes
200,yes
201,yes
202,yes
203,yes
204,yes
205,yes
206,yes
207,yes
208,yes
209,yes
210,yes
211,no
212,yes
213,yes
214,yes
